GeneSymbol	GSM3374350_response	GSM3374352_response	GSM3374356_response	GSM3374362_response	GSM3374366_response	GSM3374368_response	GSM3374369_response	GSM3374370_response	GSM3374386_response	GSM3374396_response	GSM3374401_response	GSM3374412_response	GSM3374413_response	GSM3374414_response	GSM3374415_response	GSM3374353_non	GSM3374354_non	GSM3374355_non	GSM3374357_non	GSM3374358_non	GSM3374359_non	GSM3374360_non	GSM3374361_non	GSM3374363_non	GSM3374364_non	GSM3374365_non	GSM3374367_non	GSM3374371_non	GSM3374372_non	GSM3374373_non	GSM3374374_non	GSM3374375_non	GSM3374376_non	GSM3374377_non	GSM3374378_non	GSM3374379_non	GSM3374380_non	GSM3374381_non	GSM3374382_non	GSM3374384_non	GSM3374387_non	GSM3374388_non	GSM3374392_non	GSM3374394_non	GSM3374398_non	GSM3374400_non	GSM3374402_non	GSM3374403_non	GSM3374404_non	GSM3374405_non	GSM3374406_non	GSM3374407_non	GSM3374408_non	GSM3374409_non	GSM3374410_non	GSM3374411_non
CD86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLEC11A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BLVRA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGFBP5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AHNAK	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642	1811.04342110642
PXDN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GALNT10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LYPLA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COL5A1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LHFPL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
